1+1,10+20-i,10+20-ni,5+10-i,5+10-ni
31.323861,28.339490,37.104357,29.073450,67.930627
31.323861,28.339490,37.104357,29.073450,67.930627
87.883400,28.815850,34.007318,86.568513,78.697523
90.402165,29.199610,29.546458,26.757824,55.051930
92.506014,88.052380,45.195931,84.851020,32.121717
29.201495,28.628177,27.468409,30.167886,37.823466
88.559804,87.185327,29.962933,28.149326,63.616923
28.835644,86.255849,48.333761,33.555937,34.642893
29.491904,28.367011,30.277371,86.163262,30.854955
48.736810,29.476504,30.474629,30.261201,49.909497
27.299516,90.700753,30.993835,84.674866,38.109741
27.596619,38.381621,36.177472,28.579502,55.290455
29.651436,86.291930,26.785414,29.645959,71.874650
87.231939,94.932501,31.887278,29.440940,45.612473
102.149265,46.840290,30.522361,34.034080,38.373202
95.531898,29.476730,30.411464,37.127518,43.396108
29.500456,29.225100,27.401770,26.292474,39.523842
91.830877,29.412629,29.660979,89.940703,38.575115
32.037629,32.526118,35.573082,29.512156,31.092271
88.714633,29.059163,27.202065,89.671279,52.156574
27.657378,31.483139,43.788141,38.347604,26.969545
89.789344,86.700759,42.510590,29.321600,30.349663
85.589428,28.889730,68.320747,29.912291,33.203546
26.234979,84.622412,90.958707,27.748325,38.236666
28.865060,26.619431,26.957184,88.067388,58.528376
29.694373,30.616763,45.455156,30.485968,43.359702
90.467376,83.822379,50.823428,27.689409,34.752555
28.330018,29.883503,33.064941,30.210714,28.516141
95.299285,27.858610,31.746383,32.458827,43.927143
97.825730,30.415879,28.850171,29.476634,53.265662
