seed,eval,time,numEvals,ind
27,5.629339,3654,1050022,"1.533860685681654,2.170102455327317,1.517518883300993,2.612811463069069,3.670644649810906,0.663263593672241,0.535972442193193,0.364035170570308,0.560954141206087,0.669991297918455,0.100711325657701,0.879141231272533,14.117666731303348,6.171240951364321,2.822261134636470,5.556095748742942,7.071972582212679,4.239665538465975,4.311084224621221,5.629339097958518"
4,5.721179,3849,1050026,"1.537517044311692,1.964380148222948,1.716457014514378,2.629443674125229,3.283822462181487,0.662313897182018,0.510841681085601,0.372244060442085,0.565633938142043,0.702312892906727,0.100000000000000,0.853362569942970,14.616084888411741,5.097368674708958,2.467733853260342,5.481204601302716,6.270526081161717,4.315956679585569,4.293623000895796,5.721179319349269"
10,5.921504,3876,1050019,"1.517553618162883,2.282780457877684,0.970000484962111,3.654564377158494,3.693486899795646,0.652463494721797,0.544357666185911,0.329567849854422,0.654320443387191,0.665908226824428,0.100000000000000,0.884082005202036,14.076597956708351,7.193900623932483,2.618564298700619,12.438388436670058,8.004826634712909,6.324434583586127,5.839732639911062,5.921503598898644"
23,5.808417,3932,1050018,"1.476279871246163,2.178041399881967,1.311068962976898,3.136944448410602,4.459218153166459,0.678824753213807,0.544487460016767,0.350405413112757,0.611464981582516,0.656768439184868,0.102202997148330,0.896976646677075,13.331016385279092,6.734534883423595,2.306866791384636,8.194571470311901,13.462285299354078,21.123313748192014,5.705729030118515,5.808417281548268"
11,6.290176,3936,1050031,"1.574740992203899,1.913997279115675,1.862213497853853,2.245920277390262,1.766597184573050,0.603730511639856,0.512659053311400,0.378992478624508,0.491661862007830,0.453506415386606,0.659886568085549,0.525854585841802,10.350937056139551,5.510895939661829,2.258969366702348,3.638510315957258,18.579017801907529,1.359687929881759,14.477585472093648,6.290176172411601"
17,6.087287,3977,1050034,"1.509794554642047,1.931552237287504,2.553544083169496,1.750812776182709,4.354646403298375,0.683743389983974,0.510952498056442,0.412406211275569,0.509107414808726,0.681249718074890,0.119407841854187,0.888720582393953,15.057266697131559,5.181778497679443,3.830771127774188,3.609788031599615,11.316778720270924,9.184205722658592,5.251532958745099,6.087286938591401"
5,6.665427,3982,1050020,"1.578725340940776,1.939245230274296,2.367262519364670,2.389430003089930,3.871162377174701,0.668470093083846,0.509003965977998,0.406146458072046,0.546181748668322,0.684616869762975,0.100000002948473,0.891322426270703,16.383389176524758,5.091941123561047,3.390548407503474,4.494686960061986,10.967864096949465,22.981875092177109,6.953125968744044,6.665427120106750"
20,6.376092,3997,1050017,"1.633086242565951,1.902298552785214,2.603878480891265,1.504187154141076,2.020241787981522,0.611266258891070,0.505345996997608,0.416530413864394,0.442588144462451,0.480201846346465,0.570056860041592,0.583001144967910,15.185993717209198,5.240363403050205,3.531322317920383,2.083301006843700,11.253768408020334,1.067113303581876,8.805316040426529,6.376092378461411"
15,5.629546,4006,1050026,"1.490457568609101,2.141357816280802,1.494169558118160,2.624719642946753,4.549328653305991,0.683919900961448,0.548185814152580,0.358724678450039,0.564381738655015,0.637139084918768,0.108261529653369,0.898087768561564,15.095130669132572,6.268852451453716,2.296775395300900,5.176282160612524,14.527131236402111,6.187732483053136,7.788025671492243,5.629545502449719"
13,5.743621,4032,1050026,"1.493999188373324,1.989058911511857,1.553144507472659,2.865936945631636,3.477808372870755,0.653974134041069,0.518025416571691,0.364529525451347,0.588367547696941,0.592366022246342,0.239632280490411,0.742641874358473,13.742381028026679,5.877422224844684,2.452573900815453,6.371336960053112,20.779722513086333,1.489312104286838,4.320746467982210,5.743620730219324"
14,8.552130,4039,1050018,"1.553479856658324,2.057825576142463,1.430167726122370,2.967700691888046,3.755998400894987,0.707653808779294,0.545427913144275,0.345573218711615,0.576893884338106,0.629460123203421,0.171715386108404,0.906965748522349,21.197103972694545,6.299320996907437,2.205239042227356,5.619365173262092,14.995743746757463,8.858957070526164,22.986208888741352,8.552129735576350"
16,5.609062,4041,1050026,"1.520545240399408,2.139288198864691,1.341534080506529,2.969607791711140,3.647946061762784,0.657988355074105,0.543088044985694,0.346809618581652,0.599818152883215,0.603750383928385,0.100000000038187,0.845406318281898,14.005543761143805,6.122146986826940,2.322389725149355,6.872232726720509,9.082611289183956,1.874266945928419,5.645576105292417,5.609062415940282"
8,7.623545,4043,1050028,"1.596495514369804,2.151105368430757,1.066193077056996,3.531716694655386,4.150623268398381,0.693515216217199,0.535077809964935,0.347308836783492,0.627846578236792,0.634546806398760,0.100000000052916,0.914622148734166,21.108862897433162,6.708867409984657,2.574007539508131,10.894469430207315,17.013110596395048,5.003115901777765,12.367699377836677,7.623545227176864"
12,6.430332,4051,1050026,"1.543709691236033,1.953975694781789,2.416625968013399,1.990101650355329,1.816827662606341,0.601302063169842,0.505965696990784,0.398796511000458,0.503154123921873,0.463878274507814,0.658934832554773,0.524503138181641,10.024876058558644,5.549102752152593,3.246151561799453,3.652871722612184,14.326523681295336,1.013584596951325,10.706466989409801,6.430332292558947"
19,5.996642,4062,1050026,"1.468173483565631,2.272257471553692,1.207502085415712,3.536999031378686,4.248641586955092,0.670085149291016,0.548197709240279,0.347885574408921,0.636713721244761,0.656882807969537,0.100000000709438,0.895389890346025,13.000767907525357,7.176617701027192,2.593319763072980,12.907229799101131,11.380226889563573,18.398739352740740,5.753755037906462,5.996642125841093"
7,5.812454,4065,1050020,"1.511604078498083,1.940601500451741,2.236006674493276,2.082299290150824,3.189547085630342,0.653603438977532,0.514442848414592,0.425245051167493,0.484472504190834,0.586907412222446,0.244474670628472,0.730491464285649,13.756810180329782,5.885078579838926,3.980489286999005,3.831908398630640,8.982615365849069,1.675159970678782,4.365329995437597,5.812454267983508"
9,5.831351,4068,1050025,"1.565737215394000,2.089374160432118,2.049965858421134,2.165968055786719,1.647091062252958,0.741298938384518,0.542067499631646,0.409357530125819,0.504388526557059,0.191475026344812,0.447242292697996,0.867316140243180,20.737612217456874,6.328871526925600,3.968250998480780,3.366880802765381,4.803442986434940,1.039756087397693,2.410286899357392,5.831351421147288"
28,6.348683,4089,1050021,"1.559238573723213,1.898802516324066,2.402477887222199,1.887406817923393,2.940600578326458,0.640811998440365,0.516301058691377,0.407936087675047,0.501189608676761,0.577266755964643,0.285163955245737,0.735614525563013,14.203653098436955,5.471033786079160,3.685529722092234,3.293267923822563,10.575147958370491,1.325038715446612,5.602103539384907,6.348683055180950"
1,6.050754,4094,1050030,"1.558691418339698,2.161875853969804,0.791959662912671,4.216034243182411,3.776704475295879,0.652159467253593,0.539046848942385,0.324615059814283,0.679857724870922,0.649033015216551,0.100000000044807,0.889387138828121,15.747799845089071,6.481686407231350,2.026329650402478,24.634534883371266,8.428752854478831,5.665620044880253,6.341409929755061,6.050754313306113"
22,6.395252,4108,1050030,"1.642775465222002,1.926637750854305,1.862096642504822,1.847437887400496,2.038931832251853,0.597906365399713,0.510531532381167,0.383873679886656,0.513032055559660,0.487602693009034,0.566170480420166,0.579542747484411,15.514447316618426,5.101684111912018,2.740754690956194,3.441848994607638,13.338731091747252,1.687282136283109,8.104380111763575,6.395252030579249"
0,6.050754,4117,1050030,"1.558691418339698,2.161875853969804,0.791959662912671,4.216034243182411,3.776704475295879,0.652159467253593,0.539046848942385,0.324615059814283,0.679857724870922,0.649033015216551,0.100000000044807,0.889387138828121,15.747799845089071,6.481686407231350,2.026329650402478,24.634534883371266,8.428752854478831,5.665620044880253,6.341409929755061,6.050754313306113"
24,5.953692,4122,1050029,"1.492348153924068,2.132618105899672,1.310841061232589,3.081356237681772,3.009341052884555,0.627041462245814,0.548393837962063,0.344581191937345,0.609787364550276,0.587659329201889,0.247346361797347,0.744912975249681,11.583858272806072,6.702426248521417,2.063497527044335,7.449299217169564,12.316577576301032,1.635320850472349,5.811151977795692,5.953692014727515"
25,6.691004,4126,1050028,"1.534167945540743,1.906181480637462,2.169810204161060,2.499306539422902,4.606651812379736,0.692116742435664,0.521231813254670,0.410760112424567,0.544375243074134,0.658301974623324,0.100550324996157,0.897610571727749,17.335670188528744,5.304013520513302,3.181860497446797,4.438826500277690,19.439689843944378,10.539226358366821,9.488943027117505,6.691004288652025"
21,6.383072,4131,1050021,"1.589299770301475,2.176474568308838,1.255145440621452,2.733992899419866,1.755243127747611,0.594315815156931,0.520749338600171,0.346175301819235,0.571912999290329,0.452520474778799,0.704224415469523,0.483866218055928,10.437443809347783,6.182128624653250,2.949679937902803,5.571135916100633,15.332879806178244,1.205844083573690,15.358693855186819,6.383072456338916"
2,6.258576,4146,1050024,"1.583574940628964,1.909190638038378,2.275450768481838,1.978941456911168,2.623789068854255,0.629382442412624,0.515632143534377,0.413033197579929,0.492693145954328,0.544450221400069,0.401170953467759,0.666073075166561,14.966062234074954,5.675541817654002,3.793113906282872,3.520649871136767,13.920867093119406,1.400975564946044,5.152959439989651,6.258575653652201"
