seed,eval,time,numEvals,ind
25,10.118966,2387,1050001,"0.973962246848743,1.302379994092445,2.410053036646444,2.682360622336636,1.764308926201605,0.416135378436328,0.496542205075435,0.395497627040808,0.595916312296124,1.000000000000000,0.607525531450926,0.149669092198226,2.121108558547943,2.325822472525165,4.774999712159858,5.523146523948430,3.141967043469478,7.806379528490075,21.646842368101168,10.118966248302411"
23,8.832098,2957,1050001,"0.844898603820570,1.798479867766630,3.232744057622891,1.677777824894122,2.888447564412249,0.446239736920045,0.490392607602568,0.490993262789493,0.453106055918743,0.696757780074983,0.720200473657147,0.242314825292449,2.167814425748982,5.272201560574053,12.198160210960070,2.399520532209168,15.014930083030652,10.824775048987005,10.621126663838726,8.832098487523056"
12,7.904808,3459,1050001,"1.377739891127806,2.168828522686665,1.798526728839006,2.400467196012574,2.483782763356368,0.724020366118468,0.559769482067101,0.434390488206280,0.449779342000396,0.293358923075797,0.362947491680859,1.000000000000000,10.053445777094038,7.638838628974051,4.650806726879581,2.931042246039226,2.143096540900701,23.496692208454685,14.255526239371098,7.904808143809860"
15,7.396927,3486,1050001,"1.469767713108195,2.310708854181327,1.344049733326806,3.429307644642741,2.587547954934781,0.607847780750651,0.536457541273573,0.391786906520755,0.474810854810659,0.588107185827052,0.580985279299979,0.548871098401568,9.236447624335623,9.495601911777688,3.553444661363890,3.293810218602788,24.926389691190699,2.737824421074821,3.505592972727336,7.396927217566958"
14,7.604462,3683,1050001,"1.474278439830526,2.345975559550811,2.739959777914422,2.026774151919138,3.510554391481701,0.654613874972187,0.544556017545334,0.478972636314510,0.477137119264328,0.667784552164268,0.355395149640677,0.906958929228485,9.361334899322081,15.353698165469728,7.903312992659613,3.745851281989398,6.893949956804821,10.430297657507605,2.053821519297183,7.604462053924948"
8,7.247944,3753,1050001,"1.339336708748906,2.384569813638842,1.753336504000762,2.747471772114594,3.064391796220362,0.640906771201851,0.563551250687881,0.354893641266870,0.622125266051816,0.536464862504620,0.697629682032479,0.100000000000000,7.326752885184003,14.442263958771423,2.938021618649271,9.402111497853756,17.040141839357087,2.221597204222474,22.831380177247641,7.247943913285397"
21,7.286691,3828,1050001,"1.613642913737492,2.273464917452159,3.301916794892208,0.579178479259972,3.615751591217993,0.628457874497674,0.538973469302056,0.464002221030787,0.446913092289064,0.784264316119681,0.712330049862757,0.122072375241096,17.544608308773955,12.947445621516729,7.940311439755060,2.763838830434000,13.934641152601544,8.816322998212768,3.649399568836940,7.286690594329827"
11,8.745302,3973,1050001,"1.540704776641197,2.230923596184902,3.049281635447618,2.547379901510921,2.617581724877254,0.625336546520759,0.480781631422435,0.507494714183219,0.520981753596706,0.537237407818717,0.265460851551415,1.000000000000000,5.481950126977580,10.457304875094594,14.377849234362145,5.223219497136105,23.183723605623875,5.067056577766313,21.238615725603025,8.745302223778281"
27,11.135724,4092,1050001,"0.943725047940474,2.636286898161597,1.777297846322374,3.371974779235056,1.000718525168299,0.388521268277096,0.462291158598702,0.355268422597356,0.649724500927159,0.100000000000000,0.960125519596501,0.155134725951907,1.173673210511800,23.384504208445076,2.341359431404056,22.905075850041434,7.058015716361169,2.916190819775876,24.112802344533157,11.135724348060549"
7,7.675755,4117,1050001,"1.498222655675268,2.325888843203941,3.689260557689138,1.189640112005178,2.847836678357666,0.587716164041425,0.527972648717648,0.484060366498765,0.404265347771938,0.469229955995950,0.706514869029601,0.289302344526609,8.325745462253744,24.647434235972863,16.685445408450938,2.128068545166766,24.245057913198113,4.816858166191823,1.424650676252362,7.675754855992327"
