seed,eval,time,numEvals,ind
20,6.786254,3329,1050001,"1.529458109018365,2.100293772283607,1.381051797578527,3.614943729001952,1.407231821435545,0.770634505774237,0.566384613258737,0.388497814001974,0.596964755377633,0.100000000000000,1.000000000000000,0.100000000000000,25.000000000000000,19.042514647002075,2.756785061001219,10.842581435626916,8.966457085621801,1.290277092678232,25.000000000000000,6.786253628213091"
11,7.125549,3441,1050001,"1.745104418972307,1.959943413495521,1.633742750234419,3.503261422876013,1.071336417396036,0.754611736173364,0.492149231621789,0.443819329426493,0.592079773252923,0.134199069804518,1.000000000000000,0.100000000000000,25.000000000000000,5.813863296508734,4.036832611621631,11.157346347894838,4.172823451804784,1.000000000000000,1.000000000000000,7.125548603564918"
27,7.726733,3472,1050001,"1.535028569602118,2.470912588259413,2.130224238270936,2.943649984918204,2.590341954231937,0.657367755820810,0.506693132146865,0.429216655293770,0.580190219436426,0.417082787105956,0.875776907925044,0.100000000000000,25.000000000000000,21.875673362711363,3.488500214683516,11.918117034016052,11.057073343708008,1.126179533585886,6.896959612047725,7.726733350843976"
12,8.574094,3535,1050001,"1.681889482312530,2.124791911575309,0.920748850822129,3.931657802281094,2.996814272487543,0.689295946420883,0.545231336435403,0.319955495087581,0.673889568233162,0.382526219213545,0.828109209227312,0.100000000000000,25.000000000000000,7.595354171866740,2.481802816460909,23.972436080391801,12.852577785510048,1.000000000000000,9.915797225985699,8.574094420536924"
8,7.751448,3554,1050001,"1.678291260315560,1.957772257034319,3.899983681256839,1.037012391416406,3.120906550500302,0.668292017689838,0.478560196398099,0.445827878145087,0.480690727935950,0.464593174456837,0.657397444572180,0.159240953213462,14.445105189319475,13.901634910854040,8.788621810456781,2.200307805295999,24.794145054956221,3.622417803397167,1.000000000000000,7.751447777951011"
28,8.940163,3619,1050001,"1.629550223049591,2.044804966367944,1.340069726409075,2.903215228720394,2.235966465005512,0.759891231512242,0.524912303196326,0.268137678682097,0.613666408580683,0.575086128340483,0.560572578490367,0.100000000000000,25.000000000000000,7.337730033095405,1.000000000000000,13.135761127876703,1.000000000000000,1.000000000000000,8.923889569471317,8.940162947253245"
16,9.773085,3717,1050001,"0.968745749830822,2.148383309689819,0.572192284210750,3.044841472439415,5.000000000000000,0.898851673413756,0.657886821171666,0.297486014580975,0.517024112475877,1.000000000000000,0.477720566802712,0.100000000000000,12.807835144687388,19.768824042857076,1.000000000000000,5.570626868711956,4.834415502532458,12.101281886841551,2.188828531185936,9.773085297606904"
18,7.503903,3722,1050001,"1.349875354839820,2.324228557797900,2.954793561072661,2.858618915898464,3.118003470143356,0.726306474810303,0.532675590356578,0.428849843038997,0.588057317770639,0.498678487962368,0.696759469985207,0.100000000000000,9.750744431620757,10.593794618851834,9.810308436335089,17.959542996590329,25.000000000000000,1.000000000000000,17.001059796467174,7.503902730627316"
10,9.716336,3729,1050001,"1.714552645369696,2.435810278224727,0.952702107087572,3.823281029490700,3.307827155813982,0.695618083096071,0.537153928625909,0.324925010691768,0.671244776876120,0.447256630625048,0.100000000000000,1.000000000000000,22.275331032601958,17.318374344014713,2.138256896005499,22.166864270652560,6.321569019672855,1.000000000000000,4.584836697198424,9.716335671316166"
3,7.465440,3789,1050001,"1.342677810787342,2.329329593819218,3.385592894639414,0.217649603312985,3.155799764910958,0.740780475396626,0.523755031036398,0.420447696139806,0.459911468978970,1.000000000000000,0.609010884647038,0.100000000000000,10.389250637779317,6.578916830663071,5.164372451813941,3.152699249673498,12.079129258159973,9.890076543793954,18.260133642482600,7.465439838611614"
2,11.435744,3802,1050001,"1.589552832485454,2.431912492561740,0.434815785134201,3.982192080134023,1.307228666845145,0.639031778603638,0.472990896772092,0.525172106007615,0.548581931541532,0.100000000000000,0.917885523669713,0.147194554612234,10.804209742769389,7.817981125138238,4.772809252370114,5.007532677614132,12.844890654748772,2.546965579688206,15.223923090572055,11.435744169885767"
9,9.538123,3835,1050001,"1.485327082509405,2.298927499694400,2.268100812735492,2.312390396965963,3.944908545645528,0.713773626332088,0.539703664612395,0.491001633479277,0.394435108435980,0.411613597829383,0.147668817342556,1.000000000000000,17.700065618171866,9.724097799942859,10.604485257063585,2.500382863463954,5.683105130141808,14.189767293575197,11.681619253002276,9.538123019713884"
5,9.416442,3838,1050001,"1.360917525114109,2.265624161602254,2.887203574415033,0.100393379360825,5.000000000000000,0.717554004967724,0.577277957006976,0.365893339402708,0.791126086922315,0.945714637140150,0.115730373044645,0.100000000000000,12.093602465674985,7.031228804646218,25.000000000000000,16.054604844000827,11.111131223757793,14.556154868158799,10.775277750557416,9.416441769825306"
23,7.525349,3910,1050001,"1.468906557769171,1.601917676026193,3.928852173809729,2.607030946707028,0.821802606919110,0.789724245357853,0.520671951721046,0.432266195635711,0.584370671620345,0.104516404285025,0.464951837029232,1.000000000000000,20.723221717635553,5.215729689685830,8.176761825022925,7.646065935761125,22.659495701108312,1.068538932015699,2.540398440219249,7.525349166183407"
26,8.090043,3945,1050001,"1.508161256490426,2.468764337323134,2.052000082579438,0.179759873814071,1.792653629393947,0.699296598829731,0.587817051482689,0.368390837252566,0.508143367648868,0.100000000000000,0.552409469326312,1.000000000000000,17.991136664918077,15.715282359306863,2.812026923112779,2.928770167932327,24.265806518771924,3.039268300227410,3.303437627840281,8.090043033913159"
7,8.602138,3968,1050001,"1.551680996468266,2.603608971800808,1.833189775083397,3.452681934433944,3.676955468762361,0.600195553017594,0.505256835558300,0.473351153541162,0.689085933213362,0.683056429908757,0.281187829664193,1.000000000000000,7.643334160152471,18.691292130403617,11.612467301278270,19.945828586594430,23.736848024617245,5.691386585836016,2.353800677570630,8.602138463395949"
6,9.159013,4004,1050001,"1.430892129509043,2.680969814175685,2.013545496872763,2.797267991728248,4.480028397120603,0.604288157564339,0.492023933857432,0.507808889406133,0.561999916736615,0.631506666522903,0.100000000000000,1.000000000000000,6.271032440360901,21.839125163901250,23.730921981764637,11.050340169511276,14.253999345079369,3.745771349441307,3.138337021324157,9.159012667299968"
13,8.935641,4009,1050001,"1.473393256115813,2.130406375892328,2.902720151865194,3.106989402921514,1.424681818687114,0.527299262709651,0.481577154421464,0.393535850940524,0.662119558731727,0.383280410380109,1.000000000000000,0.344349006591824,5.451159846823797,8.913690371624143,16.921734387592618,25.000000000000000,7.755202978935415,1.000000000000000,23.266388428323651,8.935641008206689"
25,7.593757,4078,1050001,"1.567484909866474,2.215525474287561,3.078300665726205,2.926948097504864,1.019730153766702,0.764892845165927,0.521204139990953,0.447434122665954,0.577818465033915,0.100000000000000,1.000000000000000,0.100000000000000,23.858800897198022,19.676055001146277,25.000000000000000,5.018919613623972,3.640626205378258,1.000000000000000,3.203777009364956,7.593756930861687"
24,9.776628,4120,1050001,"1.561408774324086,2.334808581136264,3.037002603094242,2.624139303816749,4.243786015392288,0.646290707862207,0.579901830641088,0.454088420739702,0.557381361347586,0.513052352482571,0.100000000000000,1.000000000000000,25.000000000000000,18.277824304640265,9.533193251407748,18.504015795130264,16.310551562646043,5.400725639382351,5.097664466331726,9.776628322130919"
22,7.554438,4243,1050001,"1.383516914095742,2.322069803510936,4.038086246380976,1.112456273265443,1.441143023937535,0.696739984703716,0.546348997670539,0.438149550180081,0.550197160229747,0.100000000000000,1.000000000000000,0.100000000000000,17.720711121061913,17.285818104311662,24.818553063086376,3.770965102652924,21.214769457915011,1.000000000000000,1.000000000000000,7.554437902891040"
0,8.008637,4249,1050001,"1.748093165113221,1.305794170947828,3.750973113962039,1.709481320850243,3.027891932885425,0.679861422862552,0.499431680999775,0.499501167908292,0.449000898622638,0.263240269059862,1.000000000000000,0.100000000000000,21.143689532185764,5.139376861228238,11.756323065057854,3.507812523939283,16.147112456264260,1.000000000000000,16.299868362838939,8.008636507334941"
1,8.008637,4266,1050001,"1.748093165113221,1.305794170947828,3.750973113962039,1.709481320850243,3.027891932885425,0.679861422862552,0.499431680999775,0.499501167908292,0.449000898622638,0.263240269059862,1.000000000000000,0.100000000000000,21.143689532185764,5.139376861228238,11.756323065057854,3.507812523939283,16.147112456264260,1.000000000000000,16.299868362838939,8.008636507334941"
