1p1, pi, pni
32.943969,29.683163, 60.237291
32.943969,29.683163, 60.237291
94.422854,31.096471, 94.297864
95.225046,42.396457, 50.501198
93.605274,94.732453, 82.002499
43.858682,33.636604, 81.394898
95.284215,94.507678, 98.676129
39.534723,88.011760, 88.387437
31.570817,87.831004, 62.940307
49.084770,31.448850, 36.754859
29.331805,92.827641, 46.802779
28.170470,39.593523, 84.957667
30.118182,94.760511, 77.205353
90.974807,96.021893, 97.733364
102.563295,58.139905, 57.102824
98.539253,31.894751, 31.743017
33.203032,29.854841, 77.846433
92.534580,32.293111, 71.674609
33.368859,35.405836, 69.502200
91.853624,35.022945, 92.454021
27.823391,57.161148, 61.496786
96.293746,87.363530, 58.586329
98.052436,30.741958, 96.803307
27.413017,85.567312, 99.854444
34.940075,28.266641, 42.726185
30.546297,33.603215, 76.034814
91.032191,86.599758, 98.400344
28.680987,88.946906, 54.583275
109.941925,29.951651, 68.529933
99.212942,32.751702, 100.797861
