1p1,pi,pni
32.943969,30.159391,108.073279
32.943969,30.159391,108.073279
94.422854,88.775568,105.349671
95.225046,29.929720,78.402274
93.605274,85.705422,96.082896
43.858682,37.457793,61.450550
95.284215,29.386465,81.999885
39.534723,35.061254,47.527951
31.570817,90.317271,60.899179
49.084770,31.349538,92.799054
29.331805,89.022944,88.195013
28.170470,33.754944,71.259544
30.118182,30.031889,77.205353
90.974807,33.615671,66.349425
102.563295,36.803167,40.596446
98.539253,37.545278,65.963275
33.203032,29.639793,99.614836
92.534580,92.649369,44.965052
33.368859,30.166730,97.888953
91.853624,90.941601,83.428593
27.823391,92.174390,59.747591
96.293746,33.142425,60.961285
98.052436,35.080711,74.527348
27.413017,30.105528,77.729305
34.940075,95.724416,72.256478
30.546297,32.592905,68.925621
91.032191,30.007266,103.328984
28.680987,31.406866,75.063458
109.941925,33.678155,57.971876
99.212942,89.607831,82.585175
