1+1,10+20-i,10+20-ni,10+20-i,10+20-ni
34.314648,29.928815,75.577625,89.210910,69.838417
34.314648,29.928815,75.577625,89.210910,69.838417
94.594631,32.914423,90.296875,35.239963,75.396512
36.971170,44.925669,69.616931,67.486533,90.579228
94.405582,33.428961,76.722320,91.124583,82.863707
31.224688,33.441379,62.092129,91.943946,45.107282
98.235755,33.827525,67.514387,30.866511,88.272885
28.744557,31.623741,48.193905,42.346542,82.654484
27.645885,91.149998,71.973580,92.532386,71.189384
31.611102,40.379804,84.223684,32.056373,76.049068
28.880463,44.224088,54.690208,37.220821,75.007542
27.261722,34.932935,84.288899,35.683562,57.794421
30.014759,31.355786,71.288414,30.570122,85.382938
91.512419,40.045927,67.001187,28.498125,61.163729
34.186238,39.306484,42.826922,95.762555,50.979949
55.812116,32.100824,48.389333,40.731011,48.520741
32.433394,33.949148,60.595238,34.384484,83.947081
92.516011,30.997218,56.723733,33.983711,88.531395
31.006168,30.372394,90.048132,36.692048,79.706554
93.988056,99.264642,68.782688,30.021621,83.484685
28.213186,45.172881,59.363117,93.469829,67.685277
94.881741,89.825443,57.263718,35.643732,60.413658
97.824725,34.876030,47.145081,35.543869,85.891926
25.365676,90.533879,96.325370,36.483372,86.323697
28.629194,29.798669,98.517787,33.350067,84.703899
30.465147,95.093074,55.904473,35.218900,79.262311
91.793168,39.689775,45.540341,36.200407,70.093922
28.523461,33.989590,46.174311,90.414580,87.385127
32.607392,52.554234,48.460231,33.277647,93.080731
28.409186,37.660229,81.187591,32.575021,89.659904
