1+1,10+20-i,10+20-ni,5+10-i,5+10-ni
34.314648,29.928815,75.577625,90.522914,73.888730
34.314648,29.928815,75.577625,90.522914,73.888730
94.594631,32.914423,90.296875,36.810330,69.127613
36.971170,44.925669,69.616931,67.486533,57.262525
94.405582,33.428961,76.722320,32.072137,93.906557
31.224688,33.441379,62.092129,89.594940,44.888600
98.235755,33.827525,67.514387,32.027679,78.772796
28.744557,31.623741,48.193905,37.551345,72.373078
27.645885,91.149998,71.973580,85.552025,44.781361
31.611102,40.379804,84.223684,35.288112,87.872248
28.880463,44.224088,54.690208,39.202706,66.477956
27.261722,34.932935,84.288899,32.564273,95.471713
30.014759,31.355786,71.288414,33.845374,84.989450
91.512419,40.045927,67.001187,34.529030,82.871504
34.186238,39.306484,42.826922,36.760106,68.825579
55.812116,32.100824,48.389333,34.230688,101.336955
32.433394,33.949148,60.595238,30.902211,89.655015
92.516011,30.997218,56.723733,42.727360,61.628568
31.006168,30.372394,90.048132,88.461607,67.376688
93.988056,99.264642,68.782688,35.082437,40.436021
28.213186,45.172881,59.363117,89.667842,76.791375
94.881741,89.825443,57.263718,91.077028,60.413658
97.824725,34.876030,47.145081,31.727969,71.366442
25.365676,90.533879,96.325370,29.091727,82.156860
28.629194,29.798669,98.517787,29.783606,70.895344
30.465147,95.093074,55.904473,41.276504,48.994057
91.793168,39.689775,45.540341,48.345285,74.615567
28.523461,33.989590,46.174311,46.062760,72.048110
32.607392,52.554234,48.460231,90.042295,80.687712
28.409186,37.660229,81.187591,92.245197,85.207248
