1+1,10+20-i,10+20-ni,5+10-i,5+10-ni
62.825021,72.657949,97.242314,72.657949,97.242314
62.825021,72.657949,97.242314,72.657949,97.242314
195.895866,68.324843,127.748777,68.324843,127.748777
69.755319,78.360441,111.841054,78.360441,111.841054
57.182546,66.327848,108.308932,66.327848,108.308932
58.483009,58.298897,105.083777,58.298897,105.083777
56.614268,62.614794,130.629716,62.614794,130.629716
69.365168,66.631915,101.739102,66.631915,101.739102
54.209174,70.212574,119.620037,70.212574,119.620037
66.362744,67.745507,93.093725,67.745507,93.093725
59.566901,64.163271,127.731706,64.163271,127.731706
61.399631,83.589713,119.970792,83.589713,119.970792
54.418281,85.919241,81.791288,85.919241,81.791288
183.988943,75.512675,93.830310,75.512675,93.830310
56.114251,69.543298,79.874304,69.543298,79.874304
64.001297,57.794564,134.459838,57.794564,134.459838
56.426388,80.446795,133.258317,80.446795,133.258317
207.608072,79.234611,116.733919,79.234611,116.733919
56.564500,88.054295,101.096328,88.054295,101.096328
71.724953,86.115714,134.080175,86.115714,134.080175
59.139528,83.132700,104.108704,83.132700,104.108704
218.686431,61.924942,96.600921,61.924942,96.600921
186.048830,69.608832,127.168925,69.608832,127.168925
77.178366,62.479345,115.875668,62.479345,115.875668
56.006545,79.772832,122.782378,79.772832,122.782378
75.891308,71.219378,103.108753,71.219378,103.108753
60.743743,62.933775,124.227046,62.933775,124.227046
63.338486,79.141144,111.060618,79.141144,111.060618
160.132519,76.384274,101.351784,76.384274,101.351784
69.073356,73.791127,142.676092,73.791127,142.676092
