1+1,10+20-i,10+20-ni
28.610565,31.310690,48.477099
28.610565,31.310690,48.477099
91.897425,31.351900,37.545868
28.918828,33.139344,28.721325
79.514494,45.891486,43.692277
25.926389,31.605219,46.384929
99.180497,28.512526,28.551233
96.692401,29.641942,44.703670
25.812348,28.191088,39.096579
31.386397,32.272647,50.424754
28.147986,26.337546,28.497417
31.940947,30.153297,37.904208
27.428575,44.695704,37.834915
26.333058,29.177040,33.836356
32.838039,26.263523,39.629356
45.944036,49.851413,48.007329
24.180696,29.165281,27.453282
28.737601,33.018590,27.724554
27.091339,30.378796,36.849849
101.212127,40.904433,44.243210
81.361683,29.968675,50.299498
113.850807,28.718205,37.803318
107.278946,32.400224,42.204690
30.424011,32.173816,37.218240
97.144426,26.933425,77.386296
29.655593,27.964297,28.647690
96.234677,28.734571,40.718649
30.435032,30.864038,54.373640
105.063607,35.978371,29.375793
28.926214,48.673518,37.005599
