1+1,15+105-i,15+105-ni
59.133219,69.000403,82.032294
59.133219,69.000403,82.032294
195.381321,63.707008,89.445539
56.391342,57.206722,72.548218
54.349192,62.223024,105.638939
55.239173,64.934605,103.179223
53.104430,62.421224,92.588757
56.451218,63.007392,89.414155
52.816769,89.006483,87.797954
59.475577,64.607433,104.481520
55.626980,59.574798,95.171342
60.070202,65.292344,93.667662
52.705826,62.624769,108.256757
183.251499,55.276433,62.737128
54.378964,65.433087,73.263493
60.819124,58.365123,76.215065
53.708743,75.035952,85.837416
207.161124,65.304005,101.401966
52.884896,64.723784,101.844882
69.144187,63.152549,124.739547
55.454029,63.662447,113.157207
211.675632,64.041119,106.778585
185.386773,61.454457,127.647984
67.663713,63.253497,101.952345
52.466817,66.202076,75.936207
67.661118,60.440824,68.820171
56.238625,56.279606,106.643426
61.048707,61.558288,92.753396
60.601096,56.377994,72.858762
60.195774,61.925158,115.007076
