seed,eval,time,numEvals,tau0,tau1,tau2,tau3,tau4,k0,k1,k2,k3,k4,k5,k6,k7,n0,n1,n2,n3,n4,n5,n6,n7,x
3,6.392517,113,1050041,1.274978095303404,3.189948820611845,1.922117722753289,3.596189322512906,2.516299234548105,0.753714053060670,0.754891898758947,0.760193121877275,0.999999999999968,0.789294445317780,0.876163710585630,0.283460644250809,0.374717588949588,14.657881599738852,24.553395757342510,2.656544012246734,2.185250280891945,2.262891162477633,5.610023196011324,24.425108378689966,4.399336461884378,6.392516647890941
2,5.785911,114,1050041,1.488139491046182,3.736720223802855,2.241484516966149,3.532814386079859,1.832770424884730,0.752017721363285,0.669829499986148,0.591615600457627,0.999999999999998,0.720375006904746,0.844780810543350,0.269725241677536,0.381395439551375,19.983973808010695,17.931457238493038,2.020181460638022,3.224281454479193,2.722514612346759,6.797719730550461,24.259879682311719,3.234856959504667,5.785910536669417
1,5.646674,117,1050041,1.307927678340301,3.430305398886581,2.167150557108395,3.851264686707934,2.143661124215930,0.736428226481616,0.698392075606870,0.705296785552536,0.999996853952793,0.724812037134546,0.860592668057359,0.304066021528681,0.381319603094148,14.542557590029138,24.462985569723475,2.318998788831478,2.373708433308360,2.624836872822709,6.667964854773933,24.797761318123207,3.505755257698163,5.646674263003936
0,5.646674,118,1050041,1.307927678340301,3.430305398886581,2.167150557108395,3.851264686707934,2.143661124215930,0.736428226481616,0.698392075606870,0.705296785552536,0.999996853952793,0.724812037134546,0.860592668057359,0.304066021528681,0.381319603094148,14.542557590029138,24.462985569723475,2.318998788831478,2.373708433308360,2.624836872822709,6.667964854773933,24.797761318123207,3.505755257698163,5.646674263003936
5,6.927608,107,1050041,1.469417755397148,3.873122767765116,1.194794036606799,3.360558967283848,3.668917574722672,0.705667226567792,0.618602148010435,0.882777331111920,0.875357587618391,0.715362467819901,0.851231425488512,0.513454389530772,0.100115307396646,19.932840672217317,14.751444598081258,1.865516443138494,3.125012309240423,2.734929476259834,6.222135132980549,6.371639398366366,21.035432973951561,6.927607846045233
4,6.169892,107,1050041,1.044671702929411,3.155451795303928,2.070054183848617,3.976476359721961,2.967724522063071,0.735309340135028,0.736525128981175,0.838149863922253,0.999999999999997,0.761482897841520,0.880938962317156,0.351274030648145,0.379407180276888,11.688393891896266,24.633831724064467,3.474600868897608,1.520357937033908,2.370040794471039,5.144936212079553,24.713587791137094,4.474191644733240,6.169891705974354
6,6.277760,108,1050041,1.045993045802915,3.168116798598036,2.077153594595248,4.053433158179181,2.933920346359365,0.736662889950556,0.737834716749922,0.836530662775567,0.999999999999999,0.737062488478605,0.880712145911144,0.352816528123404,0.375752520068086,11.735297851743062,24.841831734737592,3.862224112128340,1.775623531836378,2.910508269597829,6.694897898680009,24.927622431572700,4.658852071024268,6.277760304984438
7,5.845630,118,1050041,1.307118656120207,3.360485018836153,2.064894806768381,3.778219906950469,2.219069461528703,0.736061643048517,0.709936642716971,0.724355026212077,0.999961797524822,0.753747595533489,0.853828269537460,0.296152637937167,0.374849395153872,14.756340500735568,24.806631894506107,2.714520912686667,2.765318721915894,2.297501473899925,6.467015678074874,24.971746201873266,3.528951948258159,5.845630465752805
11,5.404541,112,1050041,1.495000305525431,3.883460081798769,2.280581251883163,3.494637689642948,3.518286200214978,0.704303806554560,0.599676027975823,0.560307069967493,0.994653883853036,0.687036455653212,0.858163393053729,0.498056725121647,0.100009685827571,20.403474248598694,11.514321132283450,2.898329143562283,3.221857060743549,2.420585995289689,6.849056753946515,5.056521022114077,24.448885247903685,5.404541305142949
8,5.780721,119,1050041,1.308116555512411,3.349663906146041,2.095323615429853,3.821568356755437,2.181031338227244,0.738046814828221,0.709899721259811,0.721751730282636,0.999984238430614,0.753951496995493,0.848553242811242,0.291678558578993,0.374774697330939,14.680776664417772,24.625717538814974,2.716683908837584,2.528627539374496,2.346518512810502,6.610106651677174,24.545699960980982,3.923248347768030,5.780721064801870
