FES,0,1,2,3,4
200,20962.545184448194,33933.69743408734,20273.533559247884,33743.79151622208,33246.51294272239
317,14980.693334105097,30920.55793160144,14834.814049109464,26439.623225355917,29636.408256538452
503,11220.225394065887,22297.747896481935,11226.240018357297,19195.233704018665,21815.124727162536
797,7430.718577814397,11248.089025847536,5890.118790938308,11638.72372900003,14229.84373844836
1262,1352.4887154918254,2725.929011461908,1195.5711661273708,4817.090119563048,6943.004757297908
2000,46.04093525441931,143.7981094247362,36.79187375284857,530.058030787536,514.1214285768106
3170,6.584219488559029e-05,0.0007675557477000439,2.9950172688586463e-06,0.014468443678197218,0.0017238880997183514
5024,1.0231815394945443e-12,1.6484591469634324e-12,5.684341886080801e-13,1.0800249583553523e-12,1.0231815394945443e-12
7963,1.0231815394945443e-12,5.684341886080801e-13,5.684341886080801e-13,1.0800249583553523e-12,4.547473508864641e-13
12620,1.0231815394945443e-12,5.684341886080801e-13,5.684341886080801e-13,1.0800249583553523e-12,4.547473508864641e-13
20000,1.0231815394945443e-12,5.684341886080801e-13,5.684341886080801e-13,1.0800249583553523e-12,4.547473508864641e-13
31698,1.0231815394945443e-12,5.684341886080801e-13,5.684341886080801e-13,1.0800249583553523e-12,4.547473508864641e-13
50238,1.0231815394945443e-12,5.684341886080801e-13,5.684341886080801e-13,1.0800249583553523e-12,4.547473508864641e-13
79622,1.0231815394945443e-12,5.684341886080801e-13,5.684341886080801e-13,1.0800249583553523e-12,4.547473508864641e-13
126192,1.0231815394945443e-12,5.684341886080801e-13,5.684341886080801e-13,1.0800249583553523e-12,4.547473508864641e-13
200000,1.0231815394945443e-12,5.684341886080801e-13,5.684341886080801e-13,1.0800249583553523e-12,4.547473508864641e-13
200001,1.0231815394945443e-12,5.684341886080801e-13,5.684341886080801e-13,1.0800249583553523e-12,4.547473508864641e-13
