FES,0,1,2,3,4
210,20242.18926511588,34901.57278520975,19489.118290233913,23567.40620913833,50679.4424224186
330,19172.091282027235,29743.97982924611,18857.248457049776,21264.18633944669,45241.35502163864
510,15798.583182062706,25124.33250815389,16073.36212333528,18776.17775522181,41994.26069634612
810,11719.746246781553,23385.55246684629,10420.508294085323,15891.062904761513,37797.503217255486
1270,10588.925053454697,17084.64167033586,8776.924795610785,11682.585947836147,26336.724070741566
2010,8975.744063804985,9655.081634621165,4439.504030944646,8273.900829622331,15428.769020571504
3170,6435.978134331238,3248.012966902299,1777.702858863487,4216.874318422923,5217.644240924993
5030,2382.448919876008,475.09706170676304,457.7616173932131,1109.676446255693,446.21680239939315
7970,387.5086401594069,0.25568688636553816,0.5136084084165304,1.5416077547930058,2.2005514126593653
12630,0.0013277506058102517,9.577166792951175e-08,3.0007328177816817e-07,1.534732518848614e-08,1.4326076325232862e-08
20010,0.0,0.0,0.0,5.684341886080802e-14,0.0
31710,0.0,0.0,0.0,5.684341886080802e-14,0.0
50250,0.0,0.0,0.0,5.684341886080802e-14,0.0
79630,0.0,0.0,0.0,0.0,0.0
126210,0.0,0.0,0.0,0.0,0.0
200010,0.0,0.0,0.0,0.0,0.0
200010,0.0,0.0,0.0,0.0,0.0
