FES,0,1,2,3,4
210,60769.53017724444,32891.205582650284,46024.28654600693,19934.192306601726,11686.69464903427
330,59618.374690079574,32891.205582650284,44320.90445901854,16941.294142214814,10949.467044806497
510,56670.25504356709,32891.205582650284,42391.38278236346,14444.919143667214,9295.504282252452
810,51718.6068447132,27815.49242007644,38701.02706487144,9597.07956801513,7537.980730643975
1270,36601.39505153986,24915.523337454095,28202.245509757977,5157.711947711277,5869.228099451261
2010,31299.59429384755,21580.773930251857,15871.80375431775,1875.5823834076264,3959.634516233664
3170,22430.622439161925,19191.19515452026,8182.40727832885,1147.0268306069668,2524.978024107448
5030,6876.755420189366,4925.669802520522,4508.5080234702045,380.35320703733146,955.4210555009017
7970,2317.9865084946296,508.9658912255736,4009.921996467633,98.69502984475378,510.69393664171685
12630,322.9482662284611,351.28334037309,1107.8147458920125,2.5892751925684934,14.436551309746562
20010,273.5763423882522,89.96801319284106,0.5215779119470199,0.9408539187349447,0.015232418583138951
31710,262.89449679814527,0.0025790061390011942,0.0008808925736616402,7.078074304445181e-08,0.0016932260908220087
50250,12.311194589567776,2.2282620193436742e-10,3.410605131648481e-13,5.684341886080802e-14,9.704308467917144e-10
79630,8.480656504161743e-06,5.684341886080802e-14,2.8421709430404007e-13,5.684341886080802e-14,9.700897862785496e-10
126210,5.684341886080802e-14,5.684341886080802e-14,2.8421709430404007e-13,5.684341886080802e-14,9.700897862785496e-10
200010,5.684341886080802e-14,5.684341886080802e-14,2.8421709430404007e-13,5.684341886080802e-14,9.700897862785496e-10
200010,5.684341886080802e-14,5.684341886080802e-14,2.8421709430404007e-13,5.684341886080802e-14,9.700897862785496e-10
